Problem,Package,File,Priority,Line,Description,Rule set,Rule
1,org.junit.platform.console.command,dataset\projects\junit5\junit-platform-console\src\main\java\org\junit\platform\console\command\DiscoveryRequestCreator.java,3,120,"The method 'addFilters(LauncherDiscoveryRequestBuilder, TestDiscoveryOptions, List<? extends DiscoverySelector>)' has a cyclomatic complexity of 10.",Design,CyclomaticComplexity
1,org.junit.platform.console.command,dataset\projects\junit5\junit-platform-console\src\main\java\org\junit\platform\console\command\StandardStreamsHandler.java,3,43,"The method 'redirectStandardStreams(Path, Path)' has a cyclomatic complexity of 12.",Design,CyclomaticComplexity
1,org.junit.platform.console.options,dataset\projects\junit5\junit-platform-console\src\main\java\org\junit\platform\console\options\TestDiscoveryOptions.java,3,44,Too many fields,Design,TooManyFields
1,org.junit.platform.console.output,dataset\projects\junit5\junit-platform-console\src\main\java\org\junit\platform\console\output\FlatPrintingListener.java,3,29,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.console.output,dataset\projects\junit5\junit-platform-console\src\main\java\org\junit\platform\console\output\TestFeedPrintingListener.java,3,30,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.console.output,dataset\projects\junit5\junit-platform-console\src\main\java\org\junit\platform\console\output\TreePrinter.java,3,29,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.console.output,dataset\projects\junit5\junit-platform-console\src\main\java\org\junit\platform\console\output\VerboseTreePrintingListener.java,3,32,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.engine,dataset\projects\junit5\junit-platform-engine\src\main\java\org\junit\platform\engine\TestDescriptor.java,3,37,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.engine,dataset\projects\junit5\junit-platform-engine\src\main\java\org\junit\platform\engine\UniqueId.java,3,44,"This class has too many methods, consider refactoring it.",Design,TooManyMethods
1,org.junit.platform.engine.discovery,dataset\projects\junit5\junit-platform-engine\src\main\java\org\junit\platform\engine\discovery\DiscoverySelectors.java,3,11,A value of 32 may denote a high amount of coupling within the class (threshold: 20),Design,CouplingBetweenObjects
